ID	Value
HAD16	Through\IN this\DT it\PRP will\MD not\RB only\RB be\VB able\JJ to\TO save\VB sugar\NN cane\NN crops\NNS but\CC peanuts\NNS and\CC potatoes\NNS also\RB .\.
HAD17	Due\JJ to\TO poor\JJ monsoon\NN the\DT decrease\NN in\IN the\DT yield\NN of\IN paddy\JJ produce\NN is\VBZ apparent\JJ in\IN the\DT government\NN procurement\NN .\.
HAD18	It\PRP has\VBZ been\VBN three\CD weeks\NNS the\DT procurement\NN of\IN the\DT crop\NN has\VBZ started\VBN .\.
HAD19	So\RB far\RB a\DT total\NN of\IN 65\CD million\CD tonnes\NNS of\IN paddy\NN have\VBP been\VBN purchased\VBN .\.
HAD20	For\IN the\DT current\JJ season\NN that\WDT is\VBZ from\IN this\DT year\NN October\NNP to\TO September\NNP next\JJ year\NN the\DT goal\NN is\VBZ to\TO purchase\VB 2.40\CD million\CD tonnes\NNS (\( 4.1\CD million\CD tonnes\NNS Paddy\NNP )\) of\IN rice\NN .\.
HAD21	It\PRP is\VBZ time\NN for\IN quick\JJ arrivals\NNS of\IN Paddy\NNP in\IN the\DT markets\NNS of\IN Punjab\NNP and\CC Haryana\NNP but\CC the\DT required\JJ quantity\NN of\IN Paddy\NNP is\VBZ not\RB reaching\VBG .\.
HAD22	The\DT Punjab\NNP and\CC Haryana\NNP government\NN are\VBP the\DT first\JJ to\TO procure\VB paddy\JJ .\.
HAD23	But\CC both\DT the\DT states\NNS were\VBD in\IN the\DT grip\NN of\IN severe\JJ drought\NN during\IN the\DT last\JJ monsoon\NN season\NN .\.
HAD24	The\DT impact\NN is\VBZ visible\JJ in\IN the\DT production\NN of\IN paddy\NN .\.
HAD25	Despite\IN these\DT adverse\JJ conditions\NNS the\DT food\NN ministry\NN has\VBZ increased\VBN the\DT procurement\NN targets\VBZ more\JJR .\.
HAD26	The\DT government\NN is\VBZ patting\VBG its\PRP$ back\NN because\IN of\IN the\DT steady\JJ increase\NN in\IN farm\NN debt\NN ,\, but\CC the\DT reality\NN is\VBZ extremely\RB worrisome\JJ .\.
HAD27	The\DT 94\CD percent\NN part\NN of\IN debts\NNS incurred\VBN in\IN the\DT name\NN of\IN farming\NN goes\VBZ only\RB to\TO the\DT farmers\NNS with\IN big\JJ holdings\NNS .\.
HAD28	Despite\IN the\DT government\NN `s\POS claim\NN ,\, the\DT banks\NNS are\VBP not\RB ready\JJ to\TO give\VB debts\NNS to\TO the\DT small\JJ and\CC marginal\JJ farmers\NNS .\.
HAD29	According\VBG to\TO the\DT National\NNP Sample\NNP Survey\NNP (\( NSS\NNP )\) ,\, there\EX are\VBP 80\CD percent\NN small\JJ and\CC marginal\JJ farmers\NNS in\IN the\DT country\NN .\.
HAD30	According\VBG to\TO this\DT record\NN of\IN the\DT Ministry\NNP of\IN Finance\NNP ,\, their\PRP$ share\NN in\IN banking\NN debt\NN is\VBZ merely\RB six\CD percent\NN .\.
HAD31	In\IN recent\JJ years\NNS ,\, the\DT banks\NNS have\VBP been\VBN pressurized\VBN to\TO open\VB more\JJR and\CC more\RBR accounts\NNS of\IN small\JJ and\CC marginal\JJ farmers\NNS .\.
HAD32	During\IN the\DT year\NN 2011-12\CD ,\, a\DT total\NN of\IN 6.35\CD million\CD accounts\NNS were\VBD opened\VBN for\IN the\DT agricultural\JJ sector\NN .\.
HAD33	Here\RB the\DT small\JJ and\CC marginal\JJ farmers\NNS had\VBD more\JJR than\IN 62\CD per\IN cent\NN of\IN the\DT share\NN .\.
HAD34	The\DT banks\NNS are\VBP supposed\VBN to\TO give\VB 18\CD percent\NN of\IN total\JJ distributed\VBN bank\NN credit\NN to\TO the\DT agricultural\JJ sector\NN .\.
HAD35	India\NNP has\VBZ always\RB been\VBN an\DT agricultural\JJ country\NN .\.
HAD36	Today\NN various\JJ career\NN options\NNS are\VBP available\JJ under\IN the\DT agriculture\NN sector\NN .\.
HAD37	There\EX are\VBP several\JJ agricultural\JJ universities\NNS in\IN the\DT country\NN where\WRB facilities\NNS for\IN graduate\NN and\CC post\NN graduate\NN level\NN courses\NNS are\VBP available\JJ .\.
HAD38	Apart\RB from\IN this\DT better\JJR facilities\NNS are\VBP also\RB available\JJ for\IN research\NN .\.
HAD39	The\DT students\NNS who\WP have\VBP passed\VBN their\PRP$ 10+2\CD with\IN Physics\NNP ,\, chemistry\NN ,\, maths\NNS or\CC biology\NN can\MD take\VB admission\NN in\IN agricultural\JJ engineering\NN .\.
HAD40	The\DT students\NNS who\WP have\VBP passed\VBN their\PRP$ 10+2\CD with\IN Physics\NNP ,\, Chemistry\NNP and\CC Biology\NNP can\MD take\VB admission\NN in\IN courses\NNS related\VBN to\TO sericulture\NN .\.
HAD41	That\DT branch\NN of\IN Agricultural\NNP Sciences\NNPS under\IN which\WDT various\JJ diseases\NNS of\IN plants\NNS are\VBP studied\VBN is\VBZ called\VBN Plant\NNP Pathology\NNP .\.
HAD42	In\IN Plant\NNP Pathology\NNP thorough\JJ research\NN is\VBZ done\VBN on\IN bacteria\NNS ,\, fungi\NNS ,\, viruses\NNS ,\, microbes\NNS ,\, etc\FW .\.
HAD43	Under\IN Dairy\NNP Technology\NNP ,\, you\PRP can\MD get\VB specialization\NN in\IN dairy\NN engineering\NN ,\, dairy\NN chemistry\NN and\CC dairy\NN bacteriology\NN .\.
HAD44	World\NNP Food\NNP Organization\NNP experts\NNS have\VBP said\VBN that\IN the\DT world\NN `s\POS major\JJ grain\NN reserves\NNS are\VBP lowering\VBG and\CC the\DT prices\NNS are\VBP rising\VBG .\.
HAD45	Small\JJ farmers\NNS `\POS dependence\NN on\IN expensive\JJ technologies\NNS has\VBZ put\VBN them\PRP on\IN debts\NNS and\CC their\PRP$ lands\NNS are\VBP also\RB being\VBG snatched\VBN .\.
HAD46	Like\IN this\DT ,\, the\DT family\NN that\WDT works\VBZ the\DT most\JJS for\IN the\DT food\NN production\NN in\IN the\DT country\NN itself\PRP suffers\VBZ hunger\NN ,\, malnutrition\NN and\CC economic\JJ crisis\NN .\.
HAD47	The\DT protection\NN of\IN the\DT farmers\NNS is\VBZ the\DT first\JJ mainstay\NN for\IN the\DT food\NN security\NN because\IN the\DT farmers\NNS are\VBP only\RB implicated\VBN in\IN crisis\NN today\NN .\.
HAD48	The\DT landless\JJ farm\NN workers\NNS should\MD also\RB be\VB brought\VBN under\IN the\DT category\NN of\IN small\JJ farmers\NNS by\IN at\IN least\JJS giving\VBG them\PRP two\CD to\TO three\CD hectares\NNS of\IN land\NN .\.
HAD49	It\PRP will\MD increase\VB the\DT food\NN production\NN and\CC consequently\RB hunger\NN and\CC malnutrition\NN from\IN the\DT villages\NNS will\MD also\RB be\VB too\RB far\RB away\RB .\.
HAD50	According\VBG to\TO scientists\NNS the\DT new\JJ technologies\NNS will\MD help\VB the\DT farmers\NNS to\TO increase\VB the\DT produce\NN and\CC conserve\VB their\PRP$ valuable\JJ natural\JJ resources\NNS .\.
HAD51	BT\NNP cotton\NN technology\NN is\VBZ its\PRP$ example\NN .\.
HAD52	However\RB ,\, for\IN food\NN commodities\NNS there\EX are\VBP serious\JJ differences\NNS on\IN GM\NNP technology\NN which\WDT needs\VBZ extensive\JJ discussion\NN .\.
HAD53	There\EX is\VBZ need\NN to\TO adopt\VB such\PDT a\DT policy\NN that\WDT ensures\VBZ the\DT food\NN security\NN .\.
HAD54	The\DT issue\NN of\IN genetically\RB modified\VBN or\CC GM\NNP crops\NNS is\VBZ again\RB in\IN debate\NN .\.
HAD55	Remember\VB that\IN in\IN this\DT context\NN ,\, the\DT Parliamentary\NNP Committee\NNP has\VBZ already\RB expressed\VBN its\PRP$ fear\NN .\.
HAD56	Significantly\RB ,\, doubt\NN on\IN the\DT role\NN of\IN the\DT Assessment\NNP Committee\NNP associated\VBN with\IN genetic\JJ engineering\NN had\VBD started\VBN to\TO begin\VB on\IN the\DT controversy\NN over\IN BT\NNP brinjal\NN .\.
HAD57	Finally\RB ,\, all\PDT these\DT issues\NNS are\VBP determined\VBN by\IN market\NN economics\NNS and\CC politics\NNS .\.
HAD58	It\PRP should\MD also\RB be\VB remembered\VBN that\IN with\IN increased\VBN use\NN of\IN chemical\NN fertilizers\NNS and\CC pesticides\NNS the\DT cost\NN of\IN cultivation\NN has\VBZ already\RB increased\VBN wildly\RB .\.
HAD59	This\DT fear\NN is\VBZ not\RB unfounded\JJ that\IN the\DT farmers\NNS might\MD lose\VB their\PRP$ accumulated\VBN knowledge\NN and\CC eventually\RB become\VB a\DT victim\NN of\IN the\DT interests\NNS and\CC greed\NN of\IN the\DT seed\NN companies\NNS .\.
HAD60	The\DT country\NN `s\POS five\CD million\CD sugarcane\NN producing\VBG farmers\NNS are\VBP in\IN crisis\NN because\IN of\IN the\DT defective\JJ sugar\NN cane\NN price\NN and\CC sugar\NN policy\NN of\IN the\DT government\NN .\.
HAD61	The\DT Central\NNP and\CC state\NNS Governments\NNS remain\VBP under\IN pressure\NN of\IN sugar\NN lobby\NN while\IN determining\VBG the\DT sugar\NN cane\NN price\NN .\.
HAD62	The\DT price\NN determination\NN is\VBZ done\VBN keeping\VBG only\RB the\DT price\NN of\IN sugar\NN as\IN the\DT base\NN .\.
HAD63	Per\IN quintal\NN sugar\NN production\NN price\NN which\WDT the\DT sugar\NN industry\NN represents\VBZ is\VBZ assumed\VBN to\TO be\VB the\DT authentic\JJ value\NN .\.
HAD64	There\EX are\VBP no\DT independent\JJ agencies\NNS to\TO check\VB the\DT authenticity\NN of\IN these\DT figures\NNS .\.
HAD65	Due\JJ to\TO faulty\JJ sugarcane\NN pricing\NN policy\NN of\IN the\DT Central\NNP Government\NNP the\DT sugarcane\NN and\CC sugar\NN production\NN keeps\VBZ on\IN fluctuating\VBG at\IN the\DT interval\NN of\IN approximately\RB four\CD years\NNS .\.
HAD66	In\IN 2009-10\CD ,\, the\DT Central\NNP Government\NNP of\IN India\NNP made\VBD an\DT amendment\NN in\IN the\DT Sugarcane\NNP Control\NNP Act\NNP 1966\CD ,\, by\IN releasing\VBG the\DT sugarcane\NN price\NN control\NN ordinance\NN .\.
HAD67	Three\NNP (\( B\NNP )\) and\CC five\CD (\( A\NN )\) was\VBD deleted\VBN in\IN this\DT ordinance\NN .\.
HAD68	The\DT states\NNS had\VBD the\DT right\NN to\TO determine\VB the\DT sugarcane\NN price\NN in\IN three\NNP (\( B\NNP )\) .\.
HAD69	Sugarcane\NN production\NN cost\NN is\VBZ actually\RB rapidly\RB increasing\VBG .\.
HAD70	The\DT Central\JJ government\NN under\IN the\DT pressure\NN of\IN sugar\NN mill\NN lobby\NN wants\VBZ to\TO introduce\VB the\DT freeing\VBG of\IN Rangarajan\NNP Committee\NNP `s\POS sugar\NN industry\NN .\.
HAD71	The\DT ridiculous\JJ situation\NN is\VBZ this\DT that\IN now\RB the\DT court\NN has\VBZ to\TO determine\VB the\DT price\NN of\IN the\DT produce\NN of\IN the\DT farmers\NNS .\.
HAD72	Does\VBZ it\PRP happen\VB while\IN determining\VBG the\DT price\NN of\IN iron\NN ,\, cement\NN and\CC other\JJ industrial\JJ products\NNS ?\.
HAD73	No\DT one\NN has\VBZ control\NN over\IN the\DT natural\JJ disasters\NNS but\CC for\IN the\DT farmers\NNS such\JJ disasters\NNS are\VBP worse\JJR than\IN death\NN .\.
HAD74	The\DT protection\NN of\IN the\DT labor\NN of\IN the\DT farmers\NNS of\IN the\DT country\NN who\WP are\VBP totally\RB dependent\JJ on\IN the\DT grace\NN of\IN nature\NN is\VBZ never\RB thought\VBN of\IN seriously\RB .\.
HAD75	Several\JJ crop\NN insurance\NN plans\NNS were\VBD made\VBN ,\, proliferated\VBN ,\, but\CC in\IN fact\NN ,\, the\DT farmers\NNS have\VBP always\RB been\VBN duped\VBN .\.
HAD76	The\DT return\NN of\IN loans\NNS and\CC investment\NN in\IN agriculture\NN by\IN the\DT financial\JJ institutions\NNS is\VBZ also\RB very\RB low\JJ .\.
HAD77	Nevertheless\RB the\DT Government\NN `s\POS approach\NN towards\IN the\DT insurance\NN of\IN husbandry\NN is\VBZ of\IN negligence\NN .\.
HAD78	In\IN 1947\CD ,\, in\IN central\JJ legislation\NN the\DT need\NN over\IN the\DT introduction\NN of\IN nationwide\JJ debate\NN for\IN crop\NN insurance\NN was\VBD mentioned\VBN by\IN Dr.\NNP Rajendra\NNP Prasad\NNP .\.
HAD79	With\IN new\JJ dreams\NNS Atal\NNP Bihari\NNP Vajpayee\NNP in\IN 1999\CD had\VBD dedicated\VBN the\DT National\NNP Agricultural\NNP Insurance\NNP Scheme\NNP to\TO the\DT nation\NN .\.
HAD80	Not\RB only\RB cereals\NNS ,\, oilseeds\NNS and\CC commercial\JJ crops\NNS were\VBD included\VBN in\IN this\DT ,\, but\CC farmers\NNS who\WP do\VBP not\RB take\VB loans\NNS have\VBP also\RB been\VBN included\VBN in\IN its\PRP$ realm\NN .\.
HAD81	Yet\RB no\DT standard\NN has\VBZ been\VBN assessed\VBN for\IN the\DT loss\NN of\IN crops\NNS .\.
HAD82	Anyway\RB ,\, our\PRP$ farmers\NNS have\VBP a\DT greater\JJR percentage\NN of\IN illiteracy\NN and\CC lack\NN of\IN awareness\NN .\.
HAD83	Acreage\JJ hold\NN of\IN around\IN 25\CD million\CD farmers\NNS is\VBZ less\JJR than\IN one\CD hectare\NN .\.
HAD84	These\DT people\NNS are\VBP unable\JJ to\TO pay\VB the\DT premium\NN of\IN two\CD per\IN cent\NN of\IN the\DT total\JJ potential\JJ production\NN .\.
HAD85	The\DT fresh\JJ figures\NNS of\IN the\DT 2010-11\CD agricultural\JJ census\NN is\VBZ the\DT new\JJ evidence\NN of\IN the\DT plight\NN of\IN husbandry\NN getting\VBG complicated\VBN in\IN directionless\JJ policies\NNS .\.
HAD86	Most\JJS of\IN the\DT farmers\NNS use\VBP small\JJ holdings\NNS only\RB to\TO grow\VB grains\NNS but\CC the\DT profit\NN is\VBZ not\RB from\IN the\DT grains\NNS but\CC from\IN professional\JJ farming\NN .\.
HAD87	We\PRP grow\VBP as\RB much\JJ grain\NN which\WDT remains\VBZ rotting\VBG in\IN the\DT open\JJ ,\, but\CC we\PRP import\VBP the\DT pulses\NNS and\CC palm\NN oil\NN from\IN other\JJ countries\NNS .\.
HAD88	The\DT size\NN of\IN land\NN holdings\NNS in\IN the\DT developed\JJ countries\NNS of\IN the\DT world\NN are\VBP big\JJ and\CC the\DT population\NN which\WDT is\VBZ subsistence\NN on\IN farming\NN is\VBZ less\JJR .\.
HAD89	There\EX are\VBP two\CD reasons\NNS behind\IN this\DT continued\JJ and\CC persistent\JJ process\NN of\IN waste\NN in\IN the\DT agricultural\JJ sector\NN .\.
HAD90	First\RB ,\, the\DT land\NN in\IN India\NNP comes\VBZ to\TO the\DT sons\NNS from\IN the\DT father\NN and\CC because\IN of\IN the\DT growing\VBG population\NN the\DT size\NN of\IN land\NN holdings\NNS is\VBZ automatically\RB reducing\VBG .\.
HAD91	Second\NNP and\CC the\DT biggest\JJS reason\NN is\VBZ that\IN our\PRP$ government\NN has\VBZ failed\VBN to\TO allocate\VB jobs\NNS to\TO the\DT rural\JJ population\NN related\VBN to\TO farming\VBG in\IN other\JJ sectors\NNS of\IN the\DT economy\NN .\.
HAD92	A\DT large\JJ section\NN of\IN the\DT human\JJ resource\NN of\IN our\PRP$ country\NN is\VBZ working\VBG in\IN the\DT rural\JJ areas\NNS because\IN the\DT government\NN has\VBZ no\DT strategies\NNS to\TO control\VB the\DT fall\NN in\IN the\DT agricultural\JJ sector\NN .\.
HAD93	The\DT country\NN `s\POS farmers\NNS are\VBP like\IN a\DT patient\NN the\DT government\NN instead\RB of\IN healing\VBG their\PRP wounds\NNS through\IN its\PRP$ policies\NNS is\VBZ all\PDT the\DT more\RBR increasing\VBG them\PRP .\.
HAD94	In\IN the\DT past\NN ,\, when\WRB the\DT whole\JJ country\NN was\VBD busy\JJ in\IN celebrating\VBG Diwali\NNP ,\, then\RB at\IN least\JJS in\IN three\CD parts\NNS of\IN the\DT country\NN ,\, farmers\NNS were\VBD battling\VBG with\IN life\NN and\CC death\NN .\.
HAD95	Vidarbha\NNP has\VBZ become\VBN the\DT nucleus\NN of\IN farmer\NN suicides\NNS in\IN the\DT country\NN ,\, where\WRB large\JJ number\NN of\IN farmers\NNS are\VBP committing\VBG suicide\NN every\DT year\NN .\.
HAD96	Even\RB where\WRB the\DT farmers\NNS `\POS land\NN is\VBZ not\RB being\VBG taken\VBN directly\RB ,\, the\DT farmers\NNS are\VBP in\IN trouble\NN .\.
HAD97	Consequences\NNS of\IN the\DT Green\NNP Revolution\NNP are\VBP now\RB exposed\VBN .\.
HAD98	Also\RB the\DT requests\NNS to\TO reduce\VB the\DT grant\NN and\CC free\JJ trade\NN economic\JJ reforms\NNS has\VBZ quickly\RB made\VBN farming\VBG a\DT deficit\NN profession\NN .\.
HAD99	Therefore\RB ,\, the\DT question\NN of\IN better\JJR prices\NNS of\IN sugarcane\NN for\IN the\DT farmers\NNS of\IN Western\NNP Maharashtra\NNP has\VBZ become\VBN a\DT question\NN of\IN life-and-death\NN .\.
HAD100	If\IN one\CD looks\VBZ at\IN the\DT government\NN figures\NNS ,\, since\IN 1995\CD till\IN 2011\CD seventy\JJ thousand\CD farmers\NNS in\IN the\DT country\NN have\VBP committed\VBN suicide\NN .\.
HAD101	C.\NNP Rangarajan\NNP is\VBZ the\DT head\NN of\IN prime\JJ minister\NN `s\POS economic\JJ advisory\JJ council\NN and\CC the\DT strong\JJ solicitor\NN of\IN economic\JJ reforms\NNS .\.
HAD102	Last\JJ day\NN a\DT six\CD member\NN committee\NN headed\VBN by\IN him\PRP made\VBD a\DT recommendation\NN related\VBN to\TO the\DT fully\RB control\JJ free\JJ sugar\NN industry\NN to\TO the\DT prime\JJ minister\NN .\.
HAD103	If\IN these\DT recommendations\NNS are\VBP accepted\VBN then\RB it\PRP will\MD be\VB a\DT shock\NN for\IN the\DT farmers\NNS of\IN the\DT country\NN .\.
HAD104	If\IN it\PRP happens\VBZ then\RB the\DT prices\NNS of\IN the\DT sugarcane\NN will\MD come\VB down\RP at\IN one\CD go\NN .\.
HAD105	The\DT Rangarajan\NNP Committee\NNP report\NN can\MD give\VB birth\NN to\TO many\JJ farmer\NN revolutions\NNS and\CC shooting\NN incidents\NNS .\.
HAD106	If\IN we\PRP look\VBP at\IN the\DT current\JJ farming\NN landscape\NN of\IN the\DT country\NN then\RB BT\NN cotton\NN is\VBZ the\DT only\JJ available\JJ GM\NN crop\NN in\IN the\DT market\NN .\.
HAD107	In\IN fact\NN the\DT central\JJ government\NN and\CC the\DT industries\NNS have\VBP presented\VBN this\DT success\NN story\NN with\IN a\DT hype\NN .\.
HAD108	But\CC the\DT ground\NN reality\NN it\PRP totally\RB opposite\JJ .\.
HAD109	The\DT parliamentary\JJ committee\NN on\IN agriculture\NN had\VBD issued\VBN a\DT study\NN report\NN related\VBN to\TO this\DT in\IN the\DT parliament\NN `s\POS monsoon\NN session\NN .\.
HAD110	Because\IN of\IN the\DT heavy\JJ price\NN of\IN the\DT seeds\NNS the\DT farmers\NNS are\VBP burdened\VBN with\IN heavy\JJ debts\NNS .\.
HAD111	For\IN the\DT food\NN security\NN we\PRP make\VBP such\JJ policies\NNS that\WDT make\VBP use\NN of\IN the\DT new\JJ technologies\NNS ,\, and\CC increase\VB food\NN production\NN .\.
HAD112	In\IN fact\NN the\DT exact\JJ meaning\NN of\IN food\NN security\NN is\VBZ the\DT availability\NN of\IN cheap\JJ and\CC nutritious\JJ food\NN within\IN the\DT reach\NN of\IN everyone\NN .\.
HAD113	Due\JJ to\TO the\DT rising\VBG price\NN of\IN food\NN for\IN a\DT long\JJ time\NN we\PRP have\VBP not\RB been\VBN able\JJ to\TO get\VB rid\JJ of\IN the\DT problem\NN of\IN malnutrition\NN .\.
HAD114	Today\NN ,\, ownership\NN of\IN 95\CD percent\NN of\IN cotton\NN seed\NN is\VBZ with\IN 60\CD Indian\JJ seed\NN licensing\NN companies\NNS in\IN the\DT hands\NNS of\IN Monsanto\NNP through\IN agreements\NNS .\.
HAD115	If\IN the\DT GM\NN crops\NNS arrive\VBP ,\, the\DT government\NN would\MD hand\VB over\IN the\DT most\RBS important\JJ seed\NN market\NN of\IN the\DT agriculture\NN management\NN to\TO the\DT multinational\JJ companies\NNS .\.
HAD116	The\DT establishment\NN of\IN Govind\NNP Ballabh\NNP Pant\NNP agriculture\NN and\CC technological\JJ university\NN ,\, Pantnagar\NNP was\VBD the\DT dream\NN of\IN the\DT first\JJ prime\JJ minister\NN of\IN the\DT country\NN ,\, Jawaharlal\NNP Nehru\NNP .\.
HAD117	The\DT university\NN built\VBN by\IN his\PRP$ own\JJ efforts\NNS has\VBZ the\DT prestige\NN of\IN becoming\VBG the\DT first\JJ agricultural\JJ University\NN of\IN the\DT country\NN .\.
HAD118	This\DT University\NNP is\VBZ setting\VBG new\JJ standards\NNS of\IN success\NN in\IN the\DT midst\NN of\IN world\NN level\NN competition\NN in\IN agriculture\NN sector\NN .\.
HAD119	Right\RB after\IN its\PRP$ establishment\NN the\DT university\NN has\VBZ done\VBN several\JJ remarkable\JJ works\NNS in\IN the\DT field\NN of\IN research\NN along\IN with\IN bringing\VBG the\DT green\JJ revolution\NN .\.
HAD120	To\TO increase\VB the\DT farm\NN yield\NN the\DT university\NN has\VBZ developed\VBN more\JJR than\IN two\CD hundred\CD and\CC fifteen\CD species\NNS of\IN grains\NNS so\RB far\RB .\.
HAD121	At\IN present\NN in\IN the\DT University\NNP work\NN on\IN two\CD hundred\CD and\CC sixty\CD two\CD research\NN projects\NNS are\VBP under\IN way\NN .\.
HAD122	Students\NNS are\VBP being\VBG imparted\VBN knowledge\NN in\IN one\CD hundred\CD and\CC thirty\CD five\CD courses\NNS of\IN the\DT departments\NNS located\VBN in\IN these\DT colleges\NNS .\.
HAD123	The\DT villagers\NNS are\VBP being\VBG independent\JJ because\IN of\IN MANREGA\NNP and\CC the\DT barren\JJ lands\NNS are\VBP being\VBG fertile\JJ with\IN the\DT help\NN of\IN ``\`` self\JJ land\NN ,\, self\JJ work\NN ``\`` scheme\NN .\.
HAD124	When\WRB Mahatma\NNP Gandhi\NNP guaranteed\JJ employment\NN planning\NN for\IN the\DT villagers\NNS had\VBD initiated\VBN it\PRP was\VBD being\VBG associated\VBN only\RB with\IN employment\NN .\.
HAD125	Almost\RB after\IN six\CD years\NNS the\DT effect\NN of\IN MANREGA\NNP is\VBZ clearly\RB visible\JJ in\IN the\DT villages\NNS of\IN Rajasthan\NNP .\.
HAD126	A\DT large\JJ section\NN of\IN the\DT southern\JJ part\NN of\IN Rajasthan\NNP is\VBZ populated\VBN with\IN tribals\NNS .\.
HAD127	Not\RB only\RB women\NNS but\CC the\DT men\NNS also\RB had\VBD almost\RB no\DT work\NN to\TO do\VB .\.
HAD128	The\DT area\NN surrounded\VBN by\IN hills\NNS had\VBD very\RB little\JJ farm\NN acreage\NN .\.
HAD129	But\CC now\RB changes\NNS can\MD be\VB seen\VBN in\IN this\DT area\NN .\.
HAD130	The\DT effect\NN of\IN MANREGA\NNP is\VBZ visible\JJ not\RB only\RB in\IN a\DT single\JJ village\NN but\CC in\IN the\DT entire\JJ area\NN .\.
HAD131	The\DT most\RBS important\JJ role\NN of\IN change\NN in\IN this\DT area\NN was\VBD that\IN of\IN the\DT scheme\NN ``\`` self\JJ farm\NN self\JJ work\NN ``\`` under\IN the\DT operation\NN MANREGA\NNP .\.
HAD132	Because\IN of\IN this\DT not\RB only\RB the\DT landscape\NN of\IN the\DT tribal\JJ area\NN but\CC also\RB the\DT fate\NN of\IN the\DT tribals\NNS has\VBZ changed\VBN .\.
HAD133	They\PRP are\VBP now\RB farming\VBG on\IN the\DT barren\JJ lands\NNS .\.
HAD134	They\PRP are\VBP playing\VBG their\PRP$ part\NN in\IN production\NN through\IN gardening\NN .\.
HAD135	The\DT farmers\NNS are\VBP also\RB adopting\VBG innovations\NNS in\IN farming\VBG by\IN improving\VBG their\PRP$ farm\NN .\.
HAD136	This\DT program\NN is\VBZ proving\VBG to\TO be\VB a\DT boon\NN for\IN the\DT villagers\NNS .\.
HAD137	In\IN the\DT first\JJ phase\NN of\IN this\DT program\NN ,\, activities\NNS related\VBN to\TO the\DT families\NNS of\IN scheduled\JJ castes\NNS and\CC scheduled\JJ tribes\NNS were\VBD included\VBN .\.
