ID	Value
HAD107	వాస్తవం\N_NN ఇది\PR_PRP .\RD_PUNC కేంద్రప్రభుత్వం\N_NN మరియు\CC_CCD పారిశ్రామిక\N_NN జగత్తు\N_NN దీని\PR_PRP కృతకృత్యత\N_NN కథను\N_NN పెద్దదిగా\RB చేసి\V_VM_VNF ముందుంచాయి\V_VM_VF .\RD_PUNC
HAD108	అయితే\RP_RPD భూమి\N_NN నైజం\N_NN దీని\PR_PRP వాస్తవానికి\N_NN విరుద్ధంగా\RB ఉంది\V_VM_VF .\RD_PUNC
HAD109	పార్లమెంటరీ\N_NN వ్యవసాయ\N_NN సమితి\N_NN గడిచిన\V_VM_VNF మార్చిలో\N_NN దీని\PR_PRP గురించి\PSP ఒక\QT_QTC అధ్యయన\N_NN నివేదికను\N_NN పార్లమెంటు\N_NN వర్షకాల\N_NN సమావేశంలో\N_NN విడుదల\N_NN చేసింది\V_VM_VF .\RD_PUNC
HAD11	విజ్ఞాన\N_NN శాస్త్రవేత్తలు\N_NN రైతుల\N_NN సౌకర్యం\N_NN కోసం\PSP ఈ\DM_DMD పరిజ్ఞానాన్ని\N_NN పొడిరూపంలో\N_NN కూడా\RP_RPD అభివృద్ధి\N_NN చేశారు\V_VM_VF .\RD_PUNC
HAD110	దీని\PR_PRP విత్తనాలకు\N_NN భారీ\JJ పెట్టుబడి\N_NN కారణంగా\RP_RPD రైతుల\N_NN మీద\N_NST భారీ\JJ ఋణభారంకూడా\N_NN ఉన్నది\V_VM_VF .\RD_PUNC
HAD111	మనం\PR_PRP ఆహార\N_NN రక్షణ\N_NN కోసం\PSP కొత్త\JJ సాంకేతికతల\N_NN ఉపయోగానికి\N_NN ఆహారోత్పత్తిని\N_NN పెంచే\V_VM_VNF ఇటువంటి\JJ సూత్రాలు\N_NN చేస్తున్నాం\V_VM_VF .\RD_PUNC
HAD112	వాస్తవానికి\N_NN ఆహార\N_NN రక్షణ\N_NN యొక్క\PSP అసలు\RP_RPD అర్థం\N_NN ప్రతి\JJ ఒక్కరిని\QT_QTC చేరే\V_VM_VNF లోపల\N_NST చౌకగల\N_NN పౌష్టికాహారంయొక్క\N_NN లభ్యత\N_NN మాత్రమే\RP_RPD .\RD_PUNC
HAD113	వెనుకటి\N_NST చాలినంత\V_VM_VNF సమయంనుండి\N_NN పెరుగుతున్న\V_VM_VNF ఆహారధాన్యాల\N_NN ధరలతో\N_NN నడుస్తున్న\V_VM_VNF పోషకాహార\N_NN లోపం\N_NN సమస్య\N_NN నుండి\PSP నేడుకూడా\N_NN మనం\PR_PRP విముక్తిని\N_NN పొందలేకపోయాం\V_VM_VF .\RD_PUNC
HAD114	నేడు\N_NST మన\PR_PRP పత్తివిత్తనాలలో\N_NN 95శాతం\QT_QTC అధికారం\N_NN 60\QT_QTC భారతీయ\N-NNP విత్తనానుమతి\N_NN సంస్థలతో\N_NN ఒడంబడిక\N_NN ద్వారా\PSP మోన్‍సెంటో\N-NNP చేతులలో\N_NN ఉంది\V_VM_VF .\RD_PUNC
HAD115	ఒకవేళ\CC_CCS జి\N_NN .ఎం\N_NN పంటలు\N_NN వస్తే\V_VM_VNF ప్రభుత్వ\N_NN వ్యవసాయ\N_NN వ్యవస్థలోని\N_NN గొప్ప\JJ బీజవిపణిని\N_NN పూర్తిగా\RB బహుళజాతి\N_NN సంస్థల\N_NN అధీనం\N_NN చేస్తుంది\V_VM_VF .\RD_PUNC
HAD116	పంతనగర్‍లోని\N-NNP గోవింద\N-NNP వల్లభపంత్\N-NNP వ్యవసాయ\N-NNP మరియు\N-NNP సాంకేతిక\N-NNP విద్యా\N-NNP విశ్వవిద్యాలయం\N-NNP ఏర్పాటు\N_NN చేయడం\V_VM_VNG భారత\N-NNP ప్రథమ\QT_QTO ప్రధాని\N_NN జవహర్\N-NNP లాల్\N-NNP నెహ్రూయొక్క\N-NNP కల\N_NN .\RD_PUNC
HAD117	ఆయన\PR_PRP కృషివల్ల\N_NN ఏర్పడిన\V_VM_VNF ఈ\DM_DMD విశ్వవిద్యాలయానికి\N_NN దేశంలో\N_NN తొలి\N_NST వ్యవసాయ\N_NN విశ్వవిద్యాలయం\N_NN అయ్యే\V_VM_VNF గౌరవం\N_NN దక్కింది\V_VM_VF .\RD_PUNC
HAD118	వ్యవసాయరంగంలో\N_NN వచ్చే\V_VM_VNF ప్రపంచంపోటీ\N_NN మధ్యలో\N_NST ఈ\DM_DMD విశ్వవిద్యాలయం\N_NN సఫలతకు\N_NN కొత్త\JJ ప్రమాణాన్ని\N_NN కల్పించింది\V_VM_VF .\RD_PUNC
HAD119	ఈ\DM_DMD విశ్వవిద్యాలయం\N_NN తన\PR_PRP స్థాపన\N_NN తరువాత\N_NST దేశంలో\N_NN హరితవిప్లవం\N-NNP తేవడంతోపాటు\V_VM_VNG పరిశోధనరంగంలో\N_NN చాలా\QT_QTF చెప్పుకోదగిన\V_VM_VNF పనులు\N_NN చేసింది\V_VM_VF .\RD_PUNC
HAD12	దీని\PR_PRP అధీనంలో\N_NN పొలంలోని\N_NN ఎండిన\V_VM_VNF మట్టిని\N_NN పొడి\N_NN ఎరువు\N_NN ,\RD_PUNC పొడిపేడలో\N_NN పొడిని\N_NN కలిపి\V_VM_VNF నాటు\N_NN సమయంలో\N_NN మొక్కతోపాటుగా\N_NN భూమిలో\N_NN వేయబడుతుంది\V_VM_VF .\RD_PUNC
HAD120	దేశంలో\N_NN వ్యవసాయోత్పత్తిని\N_NN పెంచడానికి\V_VM_VNG విశ్వవిద్యాలయం\N_NN ఇప్పటి\N_NST వరకూ\PSP 215\QT_QTC కంటే\PSP ఎక్కువ\QT_QTF వరి\N_NN వంగడాలను\N_NN రూపొందించింది\V_VM_VF .\RD_PUNC
HAD121	విశ్వవిద్యాలయంలో\N_NN ప్రస్తుతం\N_NST 262\QT_QTC పరిశోధన\N_NN పథకాల\N_NN మీద\PSP కృషి\N_NN సాగుతున్నది\V_VM_VF .\RD_PUNC
HAD122	ఈ\DM_DMD కళాశాలల్లో\N_NN ఉన్న\V_VM_VNF 72\QT_QTC శాఖల్లో\N_NN 135\QT_QTC పాఠ్యాంశాలలో\N_NN విద్యార్థులకు\N_NN విద్య\N_NN అందించబడుతూ\V_VM_VNF ఉన్నది\V_VM_VF .\RD_PUNC
HAD123	మన్రేగా\N-NNP కారణం\N_NN వల్ల\PSP గ్రామీణులు\N_NN తన\PR_PRP మీద\PSP ఆధారపడినవాడుగా\V_VM_VNF చేయబడుతున్నారు\V_VM_VF .’తనపొలం,\N_NN తనపని’\N_NN సాధనంగా\RB చౌడుభూమికూడా\N_NN ఉపయోగకారం\N_NN అవుతున్నది\V_VM_VF .\RD_PUNC
HAD124	మహాత్మాగాంధీ\N-NNP గ్రామీణ\N-NNP ఉపాధి\N-NNP హామీ\N-NNP పథకం\N-NNP ప్రారంభమయినప్పుడు\V_VM_VNF ఇది\PR_PRP కేవలం\QT_QTF వృత్తితో\N_NN జత\N_NN చేయబడింది\V_VM_VF .\RD_PUNC
HAD125	సుమారు\QT_QTF ఆరు\QT_QTC సంవత్సరాల\N_NN తర్వాత\N_NST మన్‍రేగా\N-NNP ప్రభావం\N_NN రాజస్థాన్‍లోని\N-NNP గ్రామాలపై\N_NN స్పష్టంగా\RB కనపడసాగింది\V_VM_VF .\RD_PUNC
HAD126	రాజస్థాన్\N-NNP లోని\PSP దక్షిణప్ర్రాంతంలో\N_NN ఎక్కువ\QT_QTF భాగం\N_NN ఆదివాసుల\N-NNP బాహుళ్యం\N_NN కలది\V_VM_VF .\RD_PUNC
HAD127	స్త్రీలే\N_NN మాత్రమేగాక\RP_RPD పురుషులకుకూడా\N_NN పని\N_NN లేకపోవడం\V_VM_VNG సమానంగా\RB ఉంది\V_VM_VF .\RD_PUNC
HAD128	కొండలతో\N_NN చుట్టబడిన\V_VM_VNF ఈ\DM_DMD భాగంలో\N_NN వ్యవసాయభూమి\N_NN విస్తీర్ణం\N_NN చాలా\QT_QTF తక్కువ\QT_QTF .\RD_PUNC
HAD129	కానీ\CC_CCD ఇప్పుడు\N_NST ఈ\DM_DMD ప్రాంతంలో\N_NN మార్పు\N_NN కనబడుతున్నది\V_VM_VF .\RD_PUNC
HAD13	మట్టిలో\N_NN కలవగానే\V_VM_VNF ఈ\DM_DMD పొడి\N_NN నుండి\PSP మిత్రకీటకాల\N_NN పుట్టుక\N_NN జరుగుతుంది\V_VM_VF మరియు\CC_CCD అవి\PR_PRP స్వయంగా\RB తెల్ల\JJ తుండపు\N_NN యొక్క\PSP పురుగులను\N_NN వెదకి\N_NN నాశనం\N_NN చేస్తూంటాయి\V_VM_VF .\RD_PUNC
HAD130	ఏదో\PR_PRL ఒక్క\QT_QTC గ్రామంలోనే\N_NN కాదు\V_VM_VF ,\RD_PUNC ప్రాంతమంతా\N_NN మన్రేగా\N-NNP డంకా\N_NN మోగుతున్నది\V_VM_VF .\RD_PUNC
HAD131	ఈ\DM_DMD ప్రాంతంలో\N_NN ఈ\DM_DMD మార్పులో\N_NN అన్నిటి\QT_QTF కంటె\PSP గొప్పపాత్ర\N_NN మన్రేగా\N-NNP అధీనంలో\N_NN నిర్దేశింపబడి\V_VM_VNF తన\PR_PRP వ్యవసాయం\N_NN తన\PR_PRP పని\N_NN ప్రణాళిక\N_NN చేయబడింది\V_VM_VF .\RD_PUNC
HAD132	ఈ\DM_DMD కారణంవలన\N_NN ఆదివాసీ\N-NNP భాగం\N_NN యొక్క\PSP రూపురేకలు\N_NN మారిపోయాయి\V_VM_VF .దానితోపాటు\PR_PRP ఆదివాసుల\N-NNP అదృష్టం\N_NN కూడా\RP_RPD మారిపోయింది\V_VM_VF .\RD_PUNC
HAD133	ఇప్పుడు\N_NST వారు\PR_PRP బంజరు\N_NN భూమిని\N_NN సాగు\N_NN చేస్తున్నారు\V_VM_VF .\RD_PUNC
HAD134	తోటపని\N_NN సాధనాల\N_NN ఉత్పాదనలో\N_NN తమ\PR_PRP భాగాన్ని\N_NN నిలుపుకొంటున్నారు\V_VM_VF .\RD_PUNC
HAD135	రైతులు\N_NN తమ\PR_PRP పొలాలను\N_NN చదును\N_NN చేసుకొని\V_VM_VNF వ్యవసాయంలో\N_NN కొత్త\JJ పద్ధతుల్ని\N_NN అనుసరిస్తున్నారు\V_VM_VF .\RD_PUNC
HAD136	ఈ\DM_DMD కార్యక్రమం\N_NN గ్రామీణులకు\N_NN వరంగా\RB నిరూపించబడుతున్నది\V_VM_VF .\RD_PUNC
HAD137	ఈ\DM_DMD కార్యక్రమంలో\N_NN ప్రథమపాదంలో\N_NN దారిద్ర్యరేఖ\N_NN దిగువనున్న\V_VM_VNF కుటుంబాలు,\N_NN షెడ్యూల్డ్\N_NN కులాలు\N_NN మరియు\CC_CCD షెడ్యూల్డ్\N_NN తెగల\N_NN కుటుంబాలతో\N_NN కలసిన\V_VM_VNF మార్గ\N_NN నిర్దేశకాలు\N_NN చేర్చబడ్డాయి\V_VM_VF .\RD_PUNC
HAD138	దీనిలో\PR_PRP జీవనాధారంభూమి\N_NN మరియు\CC_CCD వ్యవసాయాధారమైన\JJ ప్రజలకు\N_NN లాభదాయకం\N_NN చేయబడింది\V_VM_VF .\RD_PUNC
HAD139	దీని\PR_PRP తర్వాత\N_NST దారిద్ర్యరేఖలో\N_NN ఉన్న\V_VM_VNF రైతులు\N_NN మరియు\CC_CCD నాలుగో\QT_QTO భాగంలో\N_NN చిన్న\JJ వ్యవసాయదారులుకూడా\N_NN ఈ\DM_DMD కార్యక్రమంలో\N_NN చేర్చబడ్డారు\V_VM_VF .\RD_PUNC
HAD14	ఈ\DM_DMD మిత్రకీటకం\N_NN గొంగళి\N_NN పురుగులను\N_NN తినకపోవడం\V_VM_VNG దీని\PR_PRP ప్రత్యేకత\N_NN .\RD_PUNC
HAD140	పేద\N_NN రైతుల\N_NN జీవనంలో\N_NN ఆర్థిక\N_NN బలం\N_NN చేకూర్చడం\V_VM_VNG ఈ\DM_DMD ప్రణాళిక\N_NN యొక్క\PSP ఉద్దేశం\N_NN .\RD_PUNC
HAD141	దీనిని\PR_PRP దృష్టిలో\N_NN ఉంచుకొని\V_VM_VNF పథకానికి\N_NN నిరంతర\N_NST పర్యవేక్షణ\N_NN వ్యవస్థ\N_NN ఏర్పాటు\N_NN చేయబడింది\V_VM_VF .\RD_PUNC
HAD142	ప్రతి\JJ పక్షంలోను\N_NN వ్యవసాయ\N_NN పర్యవేక్షకుల\N_NN ద్వారా\PSP పనులకోసం\N_NN సాంకేతిక\N_NN మార్గదర్శనం\N_NN ఇవ్వబడుతుంది\V_VM_VF .\RD_PUNC
HAD143	’నా\N-NNP పొలం\N-NNP నా\N-NNP పని’\N-NNP పథకం\N_NN రైతుల\N_NN యొక్క\PSP స్థితిని\N_NN పూర్తిగా\RB మార్చిందని\V_VM_VF రైతు\N_NN శంకరమాలీ\N-NNP అంటున్నాడు\V_VM_VF .\RD_PUNC
HAD144	మన్రేగా\N-NNP అధీనంలోని\N_NN ఈ\DM_DMD ప్రణాళిక\N_NN ప్రారంభమయిన\V_VM_VNF తర్వాత\N_NST రైతులకు\N_NN ఏ\DM_DMQ విధమయిన\V_VM_VNF పనికయినా\N_NN కార్మికులకు\N_NN కష్టం\N_NN కలగలేదు\V_VM_VF .\RD_PUNC
HAD145	ఏ\DM_DMQ చేలల్లో\N_NN పొదలున్నాయో\V_VM_VF అక్కడ\N_NST నమోదు\N_NN చేయదగిన\V_VM_VNF స్థాయిలో\N_NN ఆహారధాన్యాల\N_NN ఉత్పత్తి\N_NN జరగటం\V_VM_VNG అన్నిటి\QT_QTF కంటే\PSP మంచి\JJ విషయం\N_NN .\RD_PUNC
HAD146	రైతులు\N_NN తమ\PR_PRP పొలాలనుండి\N_NN ఇప్పుడు\N_NST రెండు-రెండు\N_NN పంటలు\N_NN పండిస్తూ\V_VM_VNF వారి\PR_PRP జీవనాధారాన్ని\N_NN బలపరచుకొంటున్నారు\V_VM_VF .\RD_PUNC
HAD147	ఇప్పుడు\N_NST గ్రామీణుల\N_NN యాజమాన్య\N_NN దశలో\N_NN సంస్కరణ\N_NN రావటంతోపాటు\N_NN ధనరక్షణకూడా\N_NN జరుగుతున్నది\V_VM_VF .\RD_PUNC
HAD148	పూర్వం\N_NST పొలాల్లోకి\N_NN రాకపోకలకు\N_NN సరైన\JJ మార్గం\N_NN లేకపోవటం\V_VM_VNG వల్ల\PSP చాలా\QT_QTF సమస్యగా\RB ఉండేదని\V_VM_VF గ్రామీణ\N_NN రైతు\N_NN అరవింద్\N-NNP జాట్\N-NNP చెప్పారు\V_VM_VF .\RD_PUNC
HAD149	పొలాల\N_NN వరకు\PSP ఎరువులు\N_NN ,\RD_PUNC విత్తనాలను\N_NN ప్రధాన\JJ రహదారినుండి\N_NN రెండు\QT_QTC కిలొమీటర్ల\N_NN వరకు\PSP తలపై\N_NN తీసుకొని\V_VM_VNF వెళ్ళవలసి\V_VM_VNF ఉండేది\V_VM_VF .\RD_PUNC కాని\CC_CCD మనరేగా\N-NNP ప్రణాళిక\N_NN వల్ల\PSP కంకరరోడ్డు\N_NN వేసిన\V_VM_VNF తరువాత\N_NST ఇప్పుడు\N_NST ఏ\DM_DMQ సమస్యా\N_NN లేదు\V_VM_VF .\RD_PUNC
HAD15	దీనివల్ల\PR_PRP ఉపయోగకరమైన\JJ భూసారంపై\N_NN ప్రభావం\N_NN పడదు\V_VM_VF .\RD_PUNC
HAD150	ఉల్లి\N_NN యొక్క\PSP అధిక\QT_QTF దిగుబడి\N_NN మరియు\CC_CCD నాణ్యత\N_NN ఉత్పత్తిని\N_NN పొందటానికి\V_VM_VNG ఆరోగ్యకరమైన\JJ మరియు\CC_CCD ఉన్నతస్థాయి\N_NN విత్తనాలను\N_NN ఉపయోగించి\V_VM_VNF నర్సరీ\N_NN తయారుచేయటం\V_VM_VNG ఆవశ్యకం\N_NN అవుతున్నది\V_VM_VF .\RD_PUNC
HAD151	ఎందుకంటే\CC_CCD మంచి\JJ మరియు\CC_CCD అధిక\QT_QTF మన్నిక\N_NN గల\V_VM_VNF మరియు\CC_CCD అమ్ముడుపోయే\V_VM_VNF పంటను\N_NN ఉత్పత్తి\N_NN చేయటం\V_VM_VNG రైతుల\N_NN ఉద్దేశం\N_NN అవుతున్నది\V_VM_VF .\RD_PUNC
HAD152	ఇందువల్ల\CC_CCD నాణ్యమైన\JJ విత్తనాల\N_NN ఉత్పత్తి\N_NN గొప్పదనంకూడ\N_NN అధికమవుతున్నది\V_VM_VF .\RD_PUNC
HAD153	విత్తనాలు\N_NN మంచి\JJ నాణ్యమైనవైతే\N_NN ఆ\DM_DMD విత్తనాలనుండి\N_NN పండిన\V_VM_VNF పంటకూడా\N_NN మంచిది\N_NN మరియు\CC_CCD ఎక్కువ\QT_QTF ఉత్పత్తి\N_NN జరుగుతుంది\V_VM_VF .\RD_PUNC దీనివల్ల\PR_PRP రైతుకు\N_NN అధిక\QT_QTF లాభం\N_NN కలుగుతుంది\V_VM_VF .\RD_PUNC
HAD154	అయినప్పటికీ\CC_CCD ఉల్లిని\N_NN చాలామంది\QT_QTF తినరు\V_VM_VF .\RD_PUNC
HAD155	అయినప్పటికి\CC_CCD ఇది’\PR_PRP వంటింటి\N_NN రాణి’\N_NN అని\CC_CCS_UT చెప్పబడుతున్నది\V_VM_VF .\RD_PUNC
HAD156	విత్తనాలు\N_NN తయారు\RB చేయడానికి\V_VM_VNG మంచిరకం\N_NN ఉల్లి\N_NN దుంపలనాటు\N_NN అక్టోబరు\N-NNP నెలలో\N_NN చేయబడుతుంది\V_VM_VF .\RD_PUNC ఇది\PR_PRP ఏప్రిల్\N-NNP నెలకు\N_NN తయారవుతుంది\V_VM_VF .\RD_PUNC
HAD157	పొలం\N_NN తయారుచేసి\V_VM_VNF ఉల్లిదుంపలను\N_NN బంగాళాదుంపలనాటు\N_NN వలె\PSP నాటబడతాయి\V_VM_VF .\RD_PUNC
HAD158	ఈ\DM_DMD పంటలో\N_NN ఒకటి\QT_QTC నుండి\PSP రెండుసార్లు\QT_QTC కలుపుతీతతో\N_NN అప్పుడప్పుడు\N_NST తేలికపాటి\JJ తడి\N_NN పెట్టవలసి\V_VM_VNF వుంటుంది\V_VM_VF .\RD_PUNC
HAD159	వెంటనే\RB క్రిమిసంహారక\N_NN మందు\N_NN చల్లడం\V_VM_VNG కూడా\RP_RPD ఒకటినుండి\QT_QTC రెండుసార్లు\QT_QTC చేయబడుతుంది\V_VM_VF .\RD_PUNC
HAD16	దీనితో\PR_PRP కేవలం\QT_QTF చెరకే\N_NN కాక\CC_CCD వేరుసెనగ\N_NN మరియు\CC_CCD బంగాళాదుంప\N_NN మొదలైన\JJ పంటలనుకూడా\N_NN కాపాడుకోవటం\V_VM_VNG సాధ్యం\N_NN కావచ్చు\V_VM_VF .\RD_PUNC
HAD160	సుమారు\QT_QTF ఆరు\QT_QTC నెలల్లో\N_NN ఉల్లి\N_NN తయారవుతుంది\V_VM_VF .\RD_PUNC
HAD161	పొలంలో\N_NN తవ్వి\V_VM_VNF తాజా\JJ ఉల్లిని\N_NN చేలోనే\N_NN అమ్మితే\V_VM_VNF క్వింటాలుకు\N_NN రూ\N_NN .200లు\QT_QTC నుండి\PSP రూ\N_NN .300లు\QT_QTC వరకు\PSP ధర\N_NN లభిస్తుంది\V_VM_VF .\RD_PUNC
HAD162	ఉల్లిని\N_NN కొన్ని\QT_QTF నెలల\N_NN వరకు\PSP నిలువ\N_NN వుంచినట్లయితే\V_VM_VNF అమ్మితే\V_VM_VNF ప్రతి\JJ క్వింటాలుకు\N_NN రూ\N_NN .500లు\QT_QTC నుంచి\PSP రూ\N_NN .600లు\QT_QTC ధరతో\N_NN అమ్మబడుతుంది\V_VM_VF .\RD_PUNC
HAD163	అందువల్ల\CC_CCD ఉల్లిని\N_NN నిలువ\N_NN ఉంచి\V_VM_VNF అమ్మితే\V_VM_VNF ఎక్కువ\QT_QTF లాభం\N_NN వస్తుంది\V_VM_VF .\RD_PUNC
HAD164	ఉల్లి\N_NN విత్తనాల\N_NN ఉత్పాదన\N_NN కోసం\PSP నల్లరేగడి\N_NN మట్టి\N_NN ఎక్కువ\QT_QTF ఉపయోగకరంగా\RB ఉంటుంది\V_VM_VF .\RD_PUNC
HAD165	పాలీథిన్\N_NN ప్లవర్\N_NN పంట\N_NN ఉత్పత్తిసాంకేతికతలో\N_NN మిక్కిలి\JJ కష్టమైన\JJ పని\N_NN కూడి\V_VM_VNF ఉన్నది\V_VM_VF .\RD_PUNC
HAD166	ఈ\DM_DMD సాంకేతిక\N_NN విజ్ఞానం\N_NN యొక్క\PSP సరయిన\V_VM_VNF పద్ధతుల\N_NN సూచనలను\N_NN పాటించడం\V_VM_VNG వల్ల\PSP భారతదేశం\N-NNP వేరుసెనగ\N_NN ఉత్పత్తి\N_NN మరియు\CC_CCD ఉత్పాదకతలు\N_NN రెండింటిని\QT_QTC పెంచగలుగుతున్నది\V_VM_VF .\RD_PUNC
HAD167	వేరుసెనగలో\N_NN చాలా\QT_QTF రకాల\N_NN విత్తనాలుమరియు\N_NN మట్టిలో\N_NN పుట్టే\V_VM_VNF తెగుళ్ళు\N_NN ఉన్నాయి\V_VM_VF .\RD_PUNC
HAD168	వీటి\N_NN విత్తనాలు\N_NN మొలవడానికి\V_VM_VNG ముందు\N_NST మరియు\CC_CCD మొలచిన\V_VM_VNF తర్వాత\N_NST చాలా\QT_QTF నాశనం\N_NN పొందుతాయి\V_VM_VF .\RD_PUNC
HAD169	విత్తనాల\N_NN యొక్క\PSP శుద్ధి\N_NN నాటడానికి\V_VM_VNG ఆరు\QT_QTC లేక\CC_CCD ఏడు\QT_QTC రోజుల\N_NN ముందు\N_NST చేయాలి\V_VM_VF .\RD_PUNC
HAD17	ప్రతికూల\JJ వాతావారణం\N_NN ఉండే\V_VM_VNF సార్వా\N_NN సమయంలో\N_NN వరి\N_NN దిగుబడిలో\N_NN తగ్గుదల\N_NN యొక్క\PSP ప్రభావం\N_NN ప్రభుత్వ\N_NN కొనుగోలుపై\N_NN కనిపించటం\V_VM_VNG మొదలుపెట్టింది\V_VM_VF .\RD_PUNC
HAD170	సాధారణ\JJ పరిస్థితులలో\N_NN వేరుసెనగకు\N_NN సుమారు\QT_QTF 400-500\QT_QTC మి\N_NN .మీ\N_NN నీరు\N_NN అవసరం\N_NN ఉంటుంది\V_VM_VF .\RD_PUNC
HAD171	మిక్కిలి\JJ అనుకూలంగా\N_NN నీరు\N_NN లభిస్తే\V_VM_VNF పంటయొక్క\N_NN మంచి\JJ సమయంలో\N_NN పూలుపూయడం\V_VM_VNG ,\RD_PUNC ఫలధారణ\N_NN పరిపక్వత\N_NN స్థితికి\N_NN బాగా\RB పెరుగుతుంది\V_VM_VF .\RD_PUNC
HAD172	పాలిథిన్\N-NNP పలావర్\N-NNP సాంకేతిక\N_NN విజ్ఞానం\N_NN ద్వారా\PSP బొట్లుబొట్లుగా\RB చల్లే\V_VM_VNF పద్ధతి\N_NN లేక\CC_CCD ఫవ్వారా\N_NN తడి\N_NN అన్నిటి\QT_QTF కంటె\PSP బాగుంటుంది\V_VM_VF .\RD_PUNC
HAD173	వేరుసెనగపంటలో\N_NN తడిద్వారా\N_NN ఇవ్వబడిన\V_VM_VNF 40-50\QT_QTC శాతం\N_NN నీటినష్టం\N_NN బాష్పీకరణం\N_NN లేక\CC_CCD ఊరుపు\N_NN ద్వారా\PSP జరుగుతున్నది\V_VM_VF .\RD_PUNC
HAD174	ఈ\DM_DMD పాలిథిన్\N_NN ప్లవర్\N_NN సాంకేతితద్వారా\N_NN బాష్పీకరణంవల్ల\N_NN జరిగే\V_VM_VNF నీటినష్టం\N_NN తగ్గించబడవచ్చు\V_VM_VF .\RD_PUNC
HAD175	పాలిథిన్\N_NN ప్లవర్\N_NN సాంకేతికతద్వారా\N_NN నాటబడిన\V_VM_VNF పంట\N_NN సాధారణ\JJ సాంకేతికత\N_NN పంట\N_NN కంటె\PSP 7-8\QT_QTC రోజుల\N_NN ముందు\N_NST పరిపక్వమవుతుంది\V_VM_VF .\RD_PUNC
